Id;Label;Size;Age
68;rights;0.121772235709556;1992.01179531403
69;piers;0.0455909469532468;1948.89814561780
70;nature;0.318670307060323;1961.88883675988
71;irony;0.216088451598664;1966.60880666842
72;dans;0.180455784879789;1955.53527044621
73;mrs;0.202705733264038;1960.74198561757
74;light;0.273216408825226;1957.16120647536
75;tale;0.0909433935398438;1964.21042743072
76;languages;0.129923964659229;1970.01056207789
77;smollett;0.0317027502296011;1971.1833595329
78;point;0.501350908793188;1965.02639510652
79;style;0.341064423576651;1961.64111154599
80;paradise;0.0920896191825489;1963.55736374179
81;ibsen;0.0385142495069806;1947.72175239152
82;scottish;0.0641993151123799;1953.48818963127
83;students;0.345343191348488;1970.74429595576
84;body;0.0905144488505706;1971.05930586963
85;die;0.0834697887669887;1949.77823741391
86;dickens;0.0850200411502125;1968.13339474125
87;sir;0.121225820690441;1947.45949199824
88;caesar;0.042061497497526;1953.65487474611
89;american;0.113148845587031;1971.01349650790
90;passage;0.281387716163205;1956.31510601154
91;existence;0.0751311752016574;1959.76596702360
92;game;0.0360829696499384;1954.81990825236
93;literary;0.171958764354518;1977.85862297390
94;whitman;0.0623998832416116;1966.63433069968
95;stage;0.170869494023252;1961.11231016020
96;russian;0.050483764176533;1977.47235932873
97;keats;0.0446333857796826;1951.78605893847
98;stars;0.0367860117755106;1953.95258370428
99;je;0.183111326275621;1952.30978810264
100;theory;0.213936608738369;1979.55587816870
101;shakespeare;0.120100953289525;1954.87803432230
102;poem;0.242663443945294;1961.30433698355
103;number;0.161317020382882;1956.80205218734
104;passages;0.239367155295776;1954.26689568508
105;evidence;0.444313724094233;1950.94739920284
106;words;0.122970077103253;1957.78843537415
107;cf;0.150595183004535;1944.73430168654
108;structure;0.292437046582325;1967.56035762976
109;war;0.118128875630958;1965.75632062679
110;goethe;0.0434088465837492;1959.17331583911
111;rousseau;0.0409384099500929;1951.74614147211
112;ne;0.116372160243769;1940.87599223040
113;scene;0.0923387986700935;1951.40235158057
114;men;0.219685535486719;1953.64785423199
115;latin;0.171510241276938;1944.76395259542
116;published;0.34122994995052;1950.89800123097
117;wordsworth;0.0770801147649526;1957.91280855289
118;lord;0.167478873139163;1956.13667810876
119;science;0.0802286755754266;1969.91467743367
120;french;0.0595289795744014;1956.98651557735
121;smith;0.0306099201913698;1960.90039539481
122;music;0.0865329166103046;1950.57881854457
123;forms;0.105954677810923;1949.82064505291
124;el;0.466237959291191;1954.13231381202
125;literature;0.269747474387908;1981.97001108501
126;image;0.377482005681292;1972.42477579850
127;cultural;0.317379913285538;1995.39281508317
128;work;0.416854144566819;1954.22456203273
129;und;1;1948.01536547511
130;beowulf;0.0685866539466471;1953.52181134034
131;fol;0.0551843572237133;1943.23667150460
132;review;0.212165654523320;1951.21818898695
133;film;0.0882522550743623;1989.40704662794
134;line;0.162958045293711;1953.77201087847
135;hamlet;0.0599241070475078;1955.33325412855
136;text;0.176397718939777;1983.87423820479
137;old;0.0839040730167093;1950.93863091576
138;beauty;0.286602686866817;1956.87826810577
139;univ;0.337065092801561;1980.32940996314
140;ich;0.115722513722670;1953.27094035498
141;black;0.106308868653932;1986.01699342028
142;browning;0.039322302988018;1955.23876340922
143;chaucer;0.118556040466749;1948.81303107641
144;name;0.0603868689529478;1960.60926078755
145;celtic;0.116493190280576;1947.59429191303
146;women;0.196070439481422;1987.30075979702
147;comic;0.162431208662903;1955.96790523882
148;experience;0.364026313353885;1964.91630892894
149;moliere;0.0327582033447007;1968.2097799511
